page,product_name,price,rating,ram,product_dimention,camera,battery,processor
https://www.flipkart.com/search?q=mobiles&page=21,JIVI JFP R21,₹799,4.5,10 MB RAM | 512 KB ROM,4.57 cm (1.8 inch) Display,1.3MP Rear Camera,1000 mAh Battery,1 Year Manufacturer Warranty
https://www.flipkart.com/search?q=mobiles&page=21,Gfive L228,"₹1,099",4,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,1 Year
https://www.flipkart.com/search?q=mobiles&page=21,"Samsung Galaxy Note 10 (Aura Glow, 256 GB)","₹73,600",4.1,8 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Display,12MP (Dual Aperture) + 12MP + 16MP | 10MP Front Camera,3500 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
https://www.flipkart.com/search?q=mobiles&page=21,Lava 34 Super,"₹1,699",4,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,1.3MP Rear Camera,2500 mAh Battery,SC6531E Processor
https://www.flipkart.com/search?q=mobiles&page=21,"Nokia 5.1 Plus (Blue, 64 GB)","₹15,999",2.3,4 GB RAM | 64 GB ROM | Expandable Upto 400 GB,14.73 cm (5.8 inch) HD+ Display,13MP + 5MP | 8MP Front Camera,3060 mAh Battery,MediaTek Helio P60 Processor
https://www.flipkart.com/search?q=mobiles&page=21,"Moto E 4th Gen (Iron Gray, 16 GB)","₹8,499",4.1,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2800 mAh Battery,MTK6737 Processor
https://www.flipkart.com/search?q=mobiles&page=21,Heemax H2 Combo of Two mobiles,"₹1,099",3.7,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,12 MONTHS WARRANTY
https://www.flipkart.com/search?q=mobiles&page=15,"Lenovo Z2 Plus (Black, 32 GB)","₹15,499",3.9,3 GB RAM | 32 GB ROM,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3500 mAh Li-Ion Battery,Qualcomm Snapdragon 820 Quad Core 2.15GHz Processor
https://www.flipkart.com/search?q=mobiles&page=15,"Tecno Camon i4 (Nebula Black, 32 GB)","₹7,599",4.1,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase."
https://www.flipkart.com/search?q=mobiles&page=15,"LG Q6 (Black, 32 GB)","₹10,999",4,3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,13.97 cm (5.5 inch) Full HD+ Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-ion Battery,Qualcomm Snapdragon 435 1.4 GHz Octacore Processor
https://www.flipkart.com/search?q=mobiles&page=15,Gfive U106 Combo of Two,"₹1,299",4.2,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,950 mAh Battery,1 Year Manufacturer warranty.
https://www.flipkart.com/search?q=mobiles&page=15,Gfive U106 Combo of Two,"₹1,299",4.2,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,950 mAh Battery,1 Year Manufacturer warranty.
https://www.flipkart.com/search?q=mobiles&page=15,"Apple iPhone 8 Plus (Gold, 64 GB)","₹49,900",4.6,64 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",Brand Warranty of 1 Year
https://www.flipkart.com/search?q=mobiles&page=15,Gfive U106 Combo of Two,"₹1,299",4.2,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,950 mAh Battery,1 Year Manufacturer warranty.
https://www.flipkart.com/search?q=mobiles&page=15,Gfive U106 Combo of Two,"₹1,299",4.2,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,950 mAh Battery,1 Year Manufacturer warranty.
https://www.flipkart.com/search?q=mobiles&page=15,"OPPO Reno2 Z (Luminous Black, 256 GB)","₹29,999",4.5,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4000 mAh Battery,MediaTek Helio P90 SoC Processor
https://www.flipkart.com/search?q=mobiles&page=15,"Apple iPhone 8 Plus (Space Grey, 64 GB)","₹49,900",4.6,64 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",Brand Warranty of 1 Year
https://www.flipkart.com/search?q=mobiles&page=15,"Apple iPhone 11 Pro (Space Grey, 64 GB)","₹1,06,600",4.7,64 GB ROM,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year
https://www.flipkart.com/search?q=mobiles&page=22,Nokia 216/216 DS,"₹2,600",4,16 MB RAM | NA ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera | 0.3MP Front Camera,1020 mAh Battery,0 0 0 0 Processor Processor
https://www.flipkart.com/search?q=mobiles&page=22,Kara K19 MINI,₹610,4,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,2500 mAh Battery,1 Year Manufacturer Warranty for Device
https://www.flipkart.com/search?q=mobiles&page=22,"Panasonic Eluga Ray Max (Gold, 64 GB)","₹12,499",3,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,3000 mAh Li-Ion Polymer Battery,Qualcomm Snapdragon 430 Octa Core 1.4GHz Processor
https://www.flipkart.com/search?q=mobiles&page=20,"Redmi Note 5 Pro (Rose Gold, 64 GB)","₹12,999",4.5,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 636 Processor
https://www.flipkart.com/search?q=mobiles&page=20,Jmax M43 Combo of two,"₹1,299",3.7,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,1.3MP Rear Camera,1050 mAh Battery,Domestic Warranty
https://www.flipkart.com/search?q=mobiles&page=20,Jmax M43 Combo of two,"₹1,299",3.7,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,1.3MP Rear Camera,1050 mAh Battery,Domestic Warranty
https://www.flipkart.com/search?q=mobiles&page=20,"Karbonn Titanium S4 (Black, 4 GB)","₹13,298",3.4,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,11.94 cm (4.7 inch) HD Display,13MP Rear Camera | 2MP Front Camera,1800 mAh Battery,1 Year for Mobile & 6 Months for Accessories
https://www.flipkart.com/search?q=mobiles&page=20,Kechaoda A30,"₹1,099",4.4,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Quarter QVGA Display,0.3MP Rear Camera,800 mAh Battery,10 Days Warrnty
https://www.flipkart.com/search?q=mobiles&page=20,"OPPO F11 (Marble Green, 128 GB)","₹17,990",4,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Display,48MP + 5MP | 16MP Front Camera,4020 mAh Battery,MTK MT6771V (P70) Processor
https://www.flipkart.com/search?q=mobiles&page=20,Lava A1 super,"₹1,049",4.6,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) QVGA Display,0.3MP Rear Camera,800 mAh Battery,1 year manufacturer replacement guarantee for Phone and 6 months replacement for accessories in the box
https://www.flipkart.com/search?q=mobiles&page=20,"Samsung Galaxy S8 Plus (Coral Blue, 64 GB)","₹56,899",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) Quad HD+ Display,12MP Rear Camera | 8MP Front Camera,3500 mAh Battery,Exynos 8895 Octa Core 2.3GHz Processor
https://www.flipkart.com/search?q=mobiles&page=20,"Samsung Galaxy A21s (Black, 64 GB)","₹17,490",4.6,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium-ion Battery,Exynos 850 Octa Core Processor
https://www.flipkart.com/search?q=mobiles&page=23,Gfive Classic,₹699,3.8,16 MB RAM | 16 MB ROM,4.57 cm (1.8 inch) Display,0.8MP Rear Camera,1050 mAh Battery,1 Year Manufacturer Warranty
https://www.flipkart.com/search?q=mobiles&page=23,MTR Bullet,₹949,4.1,64 MB RAM | 64 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,2000 mAh Battery,12 Months
https://www.flipkart.com/search?q=mobiles&page=23,"Tecno Camon i (Champagne Gold, 32 GB)","₹9,699",4,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,14.35 cm (5.65 inch) HD+ Display,13MP Rear Camera | 13MP Front Camera,3050 mAh Battery,MediaTek MT6737 Processor
https://www.flipkart.com/search?q=mobiles&page=23,Trio T4 XL Selfie,₹669,3.6,32 MB RAM | 64 MB ROM,4.5 cm (1.77 inch) Display,1.3MP Rear Camera,1500 mAh Battery,1 Year Manufacturer Warranty
https://www.flipkart.com/search?q=mobiles&page=23,ITEL IT5025,"₹1,230",4,32 MB RAM | 32 MB ROM | Expandable Upto 8 GB,6.1 cm (2.4 inch) NA Display,0.3MP Rear Camera,1200 mAh Battery,1 Year
https://www.flipkart.com/search?q=mobiles&page=23,"Samsung Galaxy A20s (Black, 64 GB)","₹14,890",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 8MP + 5MP | 8MP Front Camera,4000 mAh Lithium Ion Battery,Qualcomm SDM450-B01 Processor
https://www.flipkart.com/search?q=mobiles&page=23,"Tecno Camon i4 (Midnight Black, 64 GB)","₹14,399",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase."
https://www.flipkart.com/search?q=mobiles&page=23,"LG Q6+ (Platinum, 64 GB)","₹17,500",3.9,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,13.97 cm (5.5 inch) Full HD+ Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 435 1.4 GHz Octacore Processor
https://www.flipkart.com/search?q=mobiles&page=23,MIXX M1 HERO,₹699,3.1,60 MB RAM | 64 MB ROM,4.57 cm (1.8 inch) Display,2.4MP Rear Camera,1100 mAh Battery,1 Year Warranty
https://www.flipkart.com/search?q=mobiles&page=21,"Samsung Galaxy Core Prime (White, 8 GB)","₹7,990",3.8,1 GB RAM | 8 GB ROM | Expandable Upto 64 GB,11.43 cm (4.5 inch) WVGA Display,5MP Rear Camera | 2MP Front Camera,2000 mAh Li-Ion Battery,1.2 GHz Quad Core Processor Processor
https://www.flipkart.com/search?q=mobiles&page=21,Ssky S-40 Prime,₹749,4.3,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) VGA Display,1.3MP Rear Camera,1000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
https://www.flipkart.com/search?q=mobiles&page=21,"XOLO Omega 5.0 (Black, 8 GB)","₹8,990",4.2,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2100 mAh Li-Ion Battery,MTK 6592M Processor
https://www.flipkart.com/search?q=mobiles&page=21,"Moto G (3rd Generation) (White, 16 GB)","₹10,999",4.2,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2470 mAh Battery,Qualcomm Snapdragon 410 MSM8916 Processor
https://www.flipkart.com/search?q=mobiles&page=21,"Asus Zenfone 5 A501CG (Gold, 8 GB)","₹8,499",4.5,2 GB RAM | 8 GB ROM | Expandable Upto 64 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2110 mAh Lithium Battery,Intel Atom Z2560 Processor with Intel Hyper Threading Technology Processor
https://www.flipkart.com/search?q=mobiles&page=21,Lava A1200,"₹1,249",5,32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Quarter QVGA Display,0.3MP Rear Camera,1750 mAh Li-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
https://www.flipkart.com/search?q=mobiles&page=15,"Honor 6 Plus (Black, 32 GB)","₹26,499",3.9,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,8MP + 8MP | 8MP Front Camera,3600 mAh Battery,Hisilicon Kirin 925 Cortex-A15 + Cortex-A7 Processor
https://www.flipkart.com/search?q=mobiles&page=15,"Apple iPhone X (Silver, 64 GB)","₹84,999",4.6,64 GB ROM,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",iOS 13 Compatible
https://www.flipkart.com/search?q=mobiles&page=20,"Samsung Galaxy S8 Plus (Maple Gold, 64 GB)","₹56,899",4.5,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) Quad HD+ Display,12MP Rear Camera | 8MP Front Camera,3500 mAh Battery,Exynos 8895 Octa Core 2.3GHz Processor
https://www.flipkart.com/search?q=mobiles&page=20,"Redmi Note 5 Pro (Red, 64 GB)","₹12,999",3.9,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 636 Processor
https://www.flipkart.com/search?q=mobiles&page=20,"Gionee F103 Pro (Grey, 16 GB)","₹8,990",4.5,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2400 mAh Li-Polymer Battery,MT6735 Processor
https://www.flipkart.com/search?q=mobiles&page=20,"Apple iPhone 8 (Gold, 256 GB)","₹54,999",4.2,256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",Brand Warranty of 1 Year
https://www.flipkart.com/search?q=mobiles&page=19,Kechaoda K33,₹935,4.1,32 MB RAM | 32 MB ROM,3.56 cm (1.4 inch) Display,0.3MP Rear Camera,1000 mAh Battery,1 Year Warranty
https://www.flipkart.com/search?q=mobiles&page=23,I Kall K36 Combo of Two Mobiles,"₹1,899",3.9,32 MB RAM | 64 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1800 mAh Battery,1 Year Manufacturing Warranty
https://www.flipkart.com/search?q=mobiles&page=23,"HTC Desire 816G (Octa Core) (Blue, 16 GB)","₹21,990",4.4,1 GB RAM | 16 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2600 mAh Li-Polymer Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
https://www.flipkart.com/search?q=mobiles&page=23,"Vivo Y91 (Nebula Purple, 32 GB)","₹8,389",4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 439 Processor
https://www.flipkart.com/search?q=mobiles&page=23,"Mi A2 (Blue/Lake Blue, 64 GB)","₹13,999",4.2,4 GB RAM | 64 GB ROM,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor
https://www.flipkart.com/search?q=mobiles&page=23,"Nokia 6.2 (Black, 64 GB)","₹16,999",3.3,4 GB RAM | 64 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP + 8MP | 8MP Front Camera,3500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
https://www.flipkart.com/search?q=mobiles&page=20,"HTC 10 (Topaz Gold, 32 GB)","₹56,690",4.6,4 GB RAM | 32 GB ROM | Expandable Upto 2 TB,13.21 cm (5.2 inch) Quad HD Display,12MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery,Qualcomm Snapdragon 820 64-bit Quad Core 2.2GHz Processor
https://www.flipkart.com/search?q=mobiles&page=19,"Apple iPhone 8 (Gold, 64 GB)","₹36,999",4.5,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",iOS 13 Compatible
